indicator_id,project_name,task_name,indicator_name,year,target_value,source_sheet,source_excel_row
ind_28d77a3833,1. 인력양성,1-2. 이차전지 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2029,6,2026,28
ind_eb1981ebf8,1. 인력양성,1-2. 이차전지 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2025,10,2026,29
ind_eb1981ebf8,1. 인력양성,1-2. 이차전지 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2026,1,2026,29
ind_eb1981ebf8,1. 인력양성,1-2. 이차전지 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2027,2,2026,29
ind_eb1981ebf8,1. 인력양성,1-2. 이차전지 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2028,2,2026,29
ind_eb1981ebf8,1. 인력양성,1-2. 이차전지 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2029,3,2026,29
ind_98ddfb266b,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 재학생 수,2025,7950,2026,30
ind_98ddfb266b,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 재학생 수,2026,7950,2026,30
ind_98ddfb266b,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 재학생 수,2027,7990,2026,30
ind_98ddfb266b,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 재학생 수,2028,8030,2026,30
ind_98ddfb266b,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 재학생 수,2029,8070,2026,30
ind_9ceb4666d9,1. 인력양성,1-2. 이차전지 단독형,09. 지역고교 출신 입학생 증가율,2025,8,2026,31
ind_3b806a8833,1. 인력양성,1-2. 이차전지 단독형,10. 지역고교생 참여 프로그램 이수자 수,2025,40,2026,32
ind_3b806a8833,1. 인력양성,1-2. 이차전지 단독형,10. 지역고교생 참여 프로그램 이수자 수,2026,45,2026,32
ind_3b806a8833,1. 인력양성,1-2. 이차전지 단독형,10. 지역고교생 참여 프로그램 이수자 수,2027,50,2026,32
ind_3b806a8833,1. 인력양성,1-2. 이차전지 단독형,10. 지역고교생 참여 프로그램 이수자 수,2028,55,2026,32
ind_3b806a8833,1. 인력양성,1-2. 이차전지 단독형,10. 지역고교생 참여 프로그램 이수자 수,2029,60,2026,32
ind_e50136dbcf,1. 인력양성,1-2. 이차전지 단독형,11. 지역고교생 입학자 수,2025,2,2026,33
ind_e50136dbcf,1. 인력양성,1-2. 이차전지 단독형,11. 지역고교생 입학자 수,2026,3,2026,33
ind_e50136dbcf,1. 인력양성,1-2. 이차전지 단독형,11. 지역고교생 입학자 수,2027,4,2026,33
ind_e50136dbcf,1. 인력양성,1-2. 이차전지 단독형,11. 지역고교생 입학자 수,2028,5,2026,33
ind_e50136dbcf,1. 인력양성,1-2. 이차전지 단독형,11. 지역고교생 입학자 수,2029,6,2026,33
ind_2f78ebd098,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 입학자 수,2025,2117,2026,34
ind_2f78ebd098,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 입학자 수,2026,2117,2026,34
