indicator_id,project_name,task_name,indicator_name,year,actual_value,target_value,achievement_rate,value_source,source_sheet,source_excel_row
ind_44e47884a3,1. 인력양성,2-3. 오송철도 클러스터,01. 클러스터 특성화 교과과정 참여학생 수,2025,22,15,,EXCEL_2026_AH_COLUMN,2026,165
ind_b57983b3c3,1. 인력양성,2-3. 오송철도 클러스터,02. 클러스터 맞춤형 프로그램 운영 실적,2025,25,5,,EXCEL_2026_AH_COLUMN,2026,166
ind_2388f1cb82,1. 인력양성,2-4. 순환경제 클러스터,02. 지역 내 취업자 수,2025,28,5,,EXCEL_2026_AH_COLUMN,2026,168
ind_b37a26ca9b,1. 인력양성,2-4. 순환경제 클러스터,03. 지역 외(수도권 제외) 취업자 수,2025,22,12,,EXCEL_2026_AH_COLUMN,2026,169
ind_c426fc2acb,1. 인력양성,2-4. 순환경제 클러스터,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,172
ind_bcc9a9bbd5,1. 인력양성,2-4. 순환경제 클러스터,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,1,0,,EXCEL_2026_AH_COLUMN,2026,173
ind_30fd380521,1. 인력양성,2-4. 순환경제 클러스터,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,2,2,,EXCEL_2026_AH_COLUMN,2026,174
ind_b36675c1ba,1. 인력양성,2-4. 순환경제 클러스터,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,1,1,,EXCEL_2026_AH_COLUMN,2026,175
ind_88d68a8306,1. 인력양성,2-4. 순환경제 클러스터,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2025,4,2,,EXCEL_2026_AH_COLUMN,2026,176
ind_3e06f09992,1. 인력양성,2-4. 순환경제 클러스터,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2025,2,1,,EXCEL_2026_AH_COLUMN,2026,177
ind_52841cd6db,1. 인력양성,2-4. 순환경제 클러스터,08. 표준현장실습 참여자 중 실습기업 취업자 수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,178
ind_beb764033f,1. 인력양성,2-4. 순환경제 클러스터,(신규) 대학 전체 재학생 수,2025,7950,0,,EXCEL_2026_AH_COLUMN,2026,179
ind_5465d2117c,1. 인력양성,2-4. 순환경제 클러스터,10. 지역고교생 참여 프로그램 이수자 수,2025,120,40,,EXCEL_2026_AH_COLUMN,2026,181
ind_36d8a9824e,1. 인력양성,2-4. 순환경제 클러스터,11. 지역고교생 입학자 수,2025,0,2,,EXCEL_2026_AH_COLUMN,2026,182
ind_aa230c531e,1. 인력양성,2-4. 순환경제 클러스터,01. 클러스터 특성화 교과과정 참여학생 수,2025,32,27,,EXCEL_2026_AH_COLUMN,2026,183
ind_84c3070d22,1. 인력양성,2-4. 순환경제 클러스터,02. 클러스터 맞춤형 프로그램 운영 실적,2025,8,8,,EXCEL_2026_AH_COLUMN,2026,184
ind_d92a782cab,2. 공동연구센터,1-1. AI모빌리티,02. 특허 출원 건수,2025,8,5,,EXCEL_2026_AH_COLUMN,2026,186
ind_58db5e32d7,2. 공동연구센터,1-1. AI모빌리티,03. 국내 특허 등록 건수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,187
ind_2c2ca81b2d,2. 공동연구센터,1-1. AI모빌리티,04. 해외 특허 등록 건수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,188
ind_133db4a797,2. 공동연구센터,1-1. AI모빌리티,05. (SCI(E)급) 논문 게재 건수,2025,3,0,,EXCEL_2026_AH_COLUMN,2026,189
ind_5efe68f440,2. 공동연구센터,1-1. AI모빌리티,06. (KCI급) 논문 게재 건수,2025,1,6,,EXCEL_2026_AH_COLUMN,2026,190
ind_88f4e268ce,2. 공동연구센터,1-1. AI모빌리티,07. 기타 지식재산권 등록 건수(디자인권·상표권·실용신안 등),2025,0,0,,EXCEL_2026_AH_COLUMN,2026,191
ind_c75c191212,2. 공동연구센터,1-1. AI모빌리티,08. 지산학연 공동연구를 통해 창출한 기술이전 수익,2025,50000,20000,,EXCEL_2026_AH_COLUMN,2026,192
ind_6fbbc1936f,2. 공동연구센터,1-1. AI모빌리티,09. 지산학연 공동연구를 통해 창출한 기술이전 건수,2025,7,6,,EXCEL_2026_AH_COLUMN,2026,193
ind_cfcd175b74,2. 공동연구센터,1-1. AI모빌리티,(신규) 대학 전임교원 수(2. 2. 2. 공동연구센터 참여 교원),2025,7,0,,EXCEL_2026_AH_COLUMN,2026,194
ind_5697d25109,2. 공동연구센터,1-1. AI모빌리티,11. 1억 이상 연구과제 수주 건수,2025,6,1,,EXCEL_2026_AH_COLUMN,2026,196
ind_adc623f813,2. 공동연구센터,1-1. AI모빌리티,12. 1억 미만 연구과제 수주 건수,2025,3,5,,EXCEL_2026_AH_COLUMN,2026,197
ind_24abb9bd6e,2. 공동연구센터,1-1. AI모빌리티,14. 미래전략산업 학생연구원(학부) 참여자 수,2025,14,18,,EXCEL_2026_AH_COLUMN,2026,199
ind_fa4984db4b,2. 공동연구센터,1-1. AI모빌리티,15. 미래전략산업 학생연구원(석사) 참여자 수,2025,16,4,,EXCEL_2026_AH_COLUMN,2026,200
ind_557223d148,2. 공동연구센터,1-1. AI모빌리티,16. 미래전략산업 학생연구원(박사) 참여자 수,2025,1,0,,EXCEL_2026_AH_COLUMN,2026,201
ind_97d4d1e297,2. 공동연구센터,1-4. 첨단바이오,01. 지산학연 공동연구 증가율,2025,0,51,,EXCEL_2026_AH_COLUMN,2026,236
